Zeit,Messwert,Wert
2026-06-05 10:30:00,pm10,1
2026-06-05 10:30:10,pm10,0
2026-06-05 10:30:20,pm10,0
2026-06-05 10:30:30,pm10,0
2026-06-05 10:30:40,pm10,0
2026-06-05 10:30:50,pm10,0
2026-06-05 10:31:00,pm10,0
2026-06-05 10:31:10,pm10,0
2026-06-05 10:31:20,pm10,0
2026-06-05 10:31:30,pm10,0
2026-06-05 10:31:40,pm10,0
2026-06-05 10:31:50,pm10,0
2026-06-05 10:32:00,pm10,0
2026-06-05 10:32:10,pm10,0
2026-06-05 10:32:30,pm10,0
2026-06-05 10:32:40,pm10,0
2026-06-05 10:32:50,pm10,0
2026-06-05 10:33:00,pm10,1
2026-06-05 10:33:10,pm10,0
2026-06-05 10:33:20,pm10,1
2026-06-05 10:33:30,pm10,1
2026-06-05 10:33:40,pm10,0
2026-06-05 10:33:50,pm10,0
2026-06-05 10:33:59,pm10,0
2026-06-05 10:19:10,pm25,0
2026-06-05 10:19:20,pm25,1
2026-06-05 10:19:30,pm25,1
2026-06-05 10:19:40,pm25,1
2026-06-05 10:19:50,pm25,1
2026-06-05 10:20:00,pm25,1
2026-06-05 10:20:10,pm25,1
2026-06-05 10:20:20,pm25,1
2026-06-05 10:20:30,pm25,1
2026-06-05 10:20:40,pm25,1
2026-06-05 10:20:50,pm25,1
2026-06-05 10:21:00,pm25,1
2026-06-05 10:21:10,pm25,1
2026-06-05 10:21:20,pm25,1
2026-06-05 10:21:50,pm25,1
2026-06-05 10:22:00,pm25,1
2026-06-05 10:22:10,pm25,1
2026-06-05 10:22:20,pm25,1
2026-06-05 10:22:30,pm25,1
2026-06-05 10:22:40,pm25,1
2026-06-05 10:22:50,pm25,1
2026-06-05 10:23:00,pm25,1
2026-06-05 10:23:10,pm25,0
2026-06-05 10:23:20,pm25,0
2026-06-05 10:23:30,pm25,0
2026-06-05 10:23:40,pm25,1
2026-06-05 10:23:50,pm25,0
2026-06-05 10:24:00,pm25,0
2026-06-05 10:24:10,pm25,0
2026-06-05 10:24:20,pm25,1
2026-06-05 10:24:30,pm25,0
2026-06-05 10:24:40,pm25,1
2026-06-05 10:24:50,pm25,0
2026-06-05 10:25:00,pm25,1
2026-06-05 10:25:10,pm25,0
2026-06-05 10:25:20,pm25,0
2026-06-05 10:25:30,pm25,0
2026-06-05 10:25:40,pm25,0
2026-06-05 10:25:50,pm25,0
2026-06-05 10:26:00,pm25,0
2026-06-05 10:26:10,pm25,0
2026-06-05 10:26:20,pm25,0
2026-06-05 10:26:30,pm25,0
2026-06-05 10:26:40,pm25,0
2026-06-05 10:26:50,pm25,0
2026-06-05 10:27:00,pm25,0
2026-06-05 10:27:10,pm25,0
2026-06-05 10:27:20,pm25,0
2026-06-05 10:27:30,pm25,0
2026-06-05 10:28:00,pm25,0
2026-06-05 10:28:10,pm25,0
2026-06-05 10:28:20,pm25,0
2026-06-05 10:28:30,pm25,0
2026-06-05 10:28:40,pm25,0
2026-06-05 10:28:50,pm25,1
2026-06-05 10:29:00,pm25,1
2026-06-05 10:29:10,pm25,1
2026-06-05 10:29:20,pm25,1
2026-06-05 10:29:30,pm25,1
2026-06-05 10:29:40,pm25,1
2026-06-05 10:29:50,pm25,1
2026-06-05 10:30:00,pm25,1
2026-06-05 10:30:10,pm25,0
2026-06-05 10:30:20,pm25,0
2026-06-05 10:30:30,pm25,0
2026-06-05 10:30:40,pm25,0
2026-06-05 10:30:50,pm25,0
2026-06-05 10:31:00,pm25,0
2026-06-05 10:31:10,pm25,0
2026-06-05 10:31:20,pm25,0
2026-06-05 10:31:30,pm25,0
2026-06-05 10:31:40,pm25,0
2026-06-05 10:31:50,pm25,0
2026-06-05 10:32:00,pm25,0
2026-06-05 10:32:10,pm25,0
2026-06-05 10:32:30,pm25,0
2026-06-05 10:32:40,pm25,0
2026-06-05 10:32:50,pm25,0
2026-06-05 10:33:00,pm25,1
2026-06-05 10:33:10,pm25,0
2026-06-05 10:33:20,pm25,1
2026-06-05 10:33:30,pm25,1
2026-06-05 10:33:40,pm25,0
2026-06-05 10:33:50,pm25,0
2026-06-05 10:33:59,pm25,0
